"PRODUCTION_NO"	"CHANNEL_ID"	"START_TIME"	"FIRST_PUB"	"PUB_DESCRIPTION"	"PUB_SOURCE_URL"	"PUB_TITLE"	"LAST_CHANGED_DATE"	"ON_DEMAND_FILENAME"	"PUB_SOURCE_URL_UPPER"	"ON_DEMAND_RESOURCE_PATH_UPPER"	"PUBLIC_URL"
213070760	88	29-05-2012 18:59			"dka/00000000-0000-0000-0000-000035720016"	"På sporet af Svend Gønge"	12-06-2012 12:23	"55303_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-000035720016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/16-03-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035720016"
902287530	88	29-05-2012 18:59			"dka/00000000-0000-0000-0000-000035730016"	"Hund og Hund imellem 07.04.1998."	12-06-2012 12:23	"54340_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-000035730016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/08-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035730016"
404775590	88	29-05-2012 18:59			"dka/00000000-0000-0000-0000-000035740016"	"Gøngehøvdingen. 04. del. Blandt de balsamerede."	12-06-2012 12:23	"60272_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000035740016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/04-12-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035740016"
591027250	88	29-05-2012 18:59			"dka/00000000-0000-0000-0000-000035750016"	"Bryggeren 07:12. 1862-1864."	12-06-2012 12:23	"20253_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000035750016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2009/11/20/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035750016"
830042430	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000035760016"	"Jul i Hjemmeværnet, 19:24. To mand frem for en enke."	12-06-2012 12:23	"63453_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000035760016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2009/12/18/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035760016"
802103900	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000035770016"	"Gotha-Rama."	12-06-2012 12:23	"55978_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000035770016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/08-05-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035770016"
506129440	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000035780016"	"Labyrint 06.02.1990."	12-06-2012 12:23	"54146_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000035780016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/04-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035780016"
831013176	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000035850016"	"IGNORANTERNE 2: Vis mig dit overforbrug"	10-12-2012 11:57	"2_bootcamp_del_1_h264morphic.mp4"	"DKA/00000000-0000-0000-0000-000035850016"	"RTMP://VOD.DR.DK/PIRAT/MP4:VIDEO/IGNORANTERNE//"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035850016"
830169690	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000035870016"	"Rockerne: Baune til fodbold"	10-12-2012 11:57	"56831_720x576x6m.mp4"	"DKA/00000000-0000-0000-0000-000035870016"	"RTMP://VOD.DR.DK/PIRAT/MP4:VIDEO/MM//"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035870016"
522241030	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000035880016"	"Mandrilaftalen: Synsk Yoyo"	10-12-2012 11:57	"60091_720x576x6m.mp4"	"DKA/00000000-0000-0000-0000-000035880016"	"RTMP://VOD.DR.DK/PIRAT/MP4:VIDEO/MM//"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000035880016"
522149570	88	29-05-2012 18:59			"dka/00000000-0000-0000-0000-000041780016"	"Hatten rundt. 01.01.1998."	12-06-2012 12:27	"54118_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000041780016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/05-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000041780016"
221102080	88	29-05-2012 18:59			"dka/00000000-0000-0000-0000-000041830016"	"PERLEVENNER PÅ BORGEN: LIBERAL ALLIANCE"	10-12-2012 11:59	"perlevenner_liberal.mp4"	"DKA/00000000-0000-0000-0000-000041830016"	"RTMP://VOD.DR.DK/PIRAT/MP4:VIDEO/UENCODER//"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000041830016"
831013096	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000041840016"	"DE GRÆNSELØSE: Det okkulte museum"	10-12-2012 11:59	"net_pirat_tv_de_graenseloese_7_post_punk.mp4"	"DKA/00000000-0000-0000-0000-000041840016"	"RTMP://VOD.DR.DK/PIRAT/MP4:VIDEO/DEGRÆNSELØSE//"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000041840016"
808535340	88	29-05-2012 19:17			"dka/00000000-0000-0000-0000-000041850016"	"Børn som partisanssoldater?"	10-12-2012 11:59	"klokken_fem-fredag__hvordan_bliver_du_opdraget.mp4"	"DKA/00000000-0000-0000-0000-000041850016"	"RTMP://VOD.DR.DK/PIRAT/MP4:VIDEO/PIRAT_OLD_SCHOOL//"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000041850016"
830169770	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000041870016"	"Rockerne: hæmoriden (2:2)"	10-12-2012 11:59	"56821_720x576x6m.mp4"	"DKA/00000000-0000-0000-0000-000041870016"	"RTMP://VOD.DR.DK/PIRAT/MP4:VIDEO/MM//"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000041870016"
522238590	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000041880016"	"Mandrilaftalen: Bjarne Goldbæk får knus"	10-12-2012 11:59	"60116_720x576x6m.mp4"	"DKA/00000000-0000-0000-0000-000041880016"	"RTMP://VOD.DR.DK/PIRAT/MP4:VIDEO/MM//"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000041880016"
809565460	88	29-05-2012 18:26			"dka/00000000-0000-0000-0000-000042670016"	"Nu skal du se - Trille, 2:4."	12-06-2012 12:27	"68386_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000042670016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2012/2/23/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000042670016"
587038500	88	29-05-2012 18:26			"dka/00000000-0000-0000-0000-000042680016"	"Zerline - en tjenestepiges fortælling"	12-06-2012 12:27	"52906_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000042680016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2012/1/3/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000042680016"
522258270	88	29-05-2012 18:26			"dka/00000000-0000-0000-0000-000042690016"	"Hit med sangen. 2000.01.28."	12-06-2012 12:27	"54966_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000042690016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/29-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000042690016"
522232710	88	29-05-2012 18:35			"dka/00000000-0000-0000-0000-0000426b0016"	"Sommerferiebussen, 07:12"	12-06-2012 12:27	"66986_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000426B0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/7/27/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000426b0016"
102575830	88	29-05-2012 18:35			"dka/00000000-0000-0000-0000-0000426c0016"	"Dronning Ingrid. Nekrolog."	12-06-2012 12:27	"66167_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000426C0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/4/5/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000426c0016"
214731540	88	29-05-2012 18:35			"dka/00000000-0000-0000-0000-0000426d0016"	"Indvandringens historie, 1:6"	12-06-2012 12:27	"5465_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000426D0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/2/16/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000426d0016"
505613470	88	29-05-2012 18:35			"dka/00000000-0000-0000-0000-0000426e0016"	"Kvit eller dobbelt 20.10.1984"	12-06-2012 12:27	"63341_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000426E0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2009/11/21/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000426e0016"
505348540	88	29-05-2012 17:04			"dka/00000000-0000-0000-0000-00004c690016"	"Lørdagshjørnet - Olaf Ussing"	12-06-2012 12:31	"66942_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-00004C690016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/11/21/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c690016"
202122960	88	29-05-2012 17:04			"dka/00000000-0000-0000-0000-00004c6a0016"	"Conrad & Aksel"	12-06-2012 12:31	"55642_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-00004C6A0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/9/22/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c6a0016"
255327700	88	29-05-2012 17:04			"dka/00000000-0000-0000-0000-00004c6b0016"	"Rygaards sommertips, 09:10."	12-06-2012 12:31	"66978_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-00004C6B0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/7/25/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c6b0016"
522307740	88	29-05-2012 18:00			"dka/00000000-0000-0000-0000-00004c6c0016"	"Til lykke mormor, 3:5."	12-06-2012 12:31	"66164_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-00004C6C0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/4/5/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c6c0016"
809045540	88	29-05-2012 17:04			"dka/00000000-0000-0000-0000-00004c6d0016"	"Crash 02:13"	12-06-2012 12:31	"48564_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-00004C6D0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/03-03-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c6d0016"
505651480	88	29-05-2012 17:04			"dka/00000000-0000-0000-0000-00004c6e0016"	"Anthonsen. 5:5. Millioner med mere. 2. del."	12-06-2012 12:31	"65427_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-00004C6E0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2010/12/13/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c6e0016"
505158840	88	29-05-2012 17:04			"dka/00000000-0000-0000-0000-00004c700016"	"Pusterummet"	12-06-2012 12:31	"53182_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-00004C700016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/11-01-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c700016"
213731090	88	29-05-2012 17:04			"dka/00000000-0000-0000-0000-00004c710016"	"Operation Hvidvask"	12-06-2012 12:31	"53693_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-00004C710016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/01-03-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c710016"
505617970	88	29-05-2012 18:27			"dka/00000000-0000-0000-0000-00004c720016"	"Lone Kellermann "	12-06-2012 12:31	"54868_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-00004C720016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/10-03-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c720016"
